Q0	'Ndrangheta
Q12034	Media Personnel (Singapore)
Q12035	Media Personnel (Slovakia)
Q12036	Media Personnel (Slovenia)
Q12037	Media Personnel (Somalia)
Q12038	Media Personnel (South Africa)
Q12039	Media Personnel (South Korea)
Q12040	Media Personnel (South Sudan)
Q12041	Media Personnel (Spain)
Q12042	Media Personnel (Sri Lanka)
Q12043	Media Personnel (Sudan)
Q12044	Media Personnel (Sweden)
Q12045	Media Personnel (Switzerland)
Q12046	Media Personnel (Syria)
Q12047	Media Personnel (Taiwan)
Q12048	Media Personnel (Tajikistan)
Q12049	Media Personnel (Tanzania)
Q12050	Media Personnel (Thailand)
Q12051	Media Personnel (Tunisia)
Q12052	Media Personnel (Turkey)
Q12053	Media Personnel (Turkmenistan)
Q12054	Media Personnel (Uganda)
Q12055	Media Personnel (Ukraine)
Q12056	Media Personnel (United Arab Emirates)
Q12057	Media Personnel (United Kingdom)
Q12058	Media Personnel (United States)
Q12059	Media Personnel (Uruguay)
Q12060	Media Personnel (Uzbekistan)
Q12061	Media Personnel (Venezuela)
Q12062	Media Personnel (Vietnam)
Q12063	Media Personnel (Xinjiang Uyghur)
Q12064	Media Personnel (Yemen)
Q12065	Media Personnel (Zambia)
Q12066	Media Personnel (Zimbabwe)
Q12067	Media Rights Group (Afghanistan)
Q12068	Media Rights Group (Sri Lanka)
Q12069	Media Rights Group (Turkey)
Q12070	Medical Association (Australia)
Q12071	Medical Association (Brazil)
Q12072	Medical Association (Bulgaria)
Q12073	Medical Association (Canada)
Q12074	Medical Association (Cuba)
Q12075	Medical Association (Hong Kong)
Q12076	Medical Association (India)
Q12077	Medical Association (Malaysia)
Q12078	Medical Association (Nigeria)
Q12079	Medical Association (Syria)
Q12080	Medical Association (Turkey)
Q12081	Medical Association (United Kingdom)
Q12082	Medical Personnel (Afghanistan)
Q12083	Medical Personnel (Albania)
Q12084	Medical Personnel (Algeria)
Q12085	Medical Personnel (Angola)
Q12086	Medical Personnel (Argentina)
Q12087	Medical Personnel (Armenia)
Q12088	Medical Personnel (Australia)
Q12089	Medical Personnel (Azerbaijan)
Q12090	Medical Personnel (Bahrain)
Q12091	Medical Personnel (Bangladesh)
Q12092	Medical Personnel (Belarus)
Q12093	Medical Personnel (Bolivia)
Q12094	Medical Personnel (Brazil)
Q12095	Medical Personnel (Cameroon)
Q12096	Medical Personnel (Canada)
Q12097	Medical Personnel (Chile)
Q12098	Medical Personnel (China)
Q12099	Medical Personnel (Colombia)
Q12100	Medical Personnel (Congo)
Q12101	Medical Personnel (Costa Rica)
Q12102	Medical Personnel (Cote d'Ivoire)
Q12103	Medical Personnel (Croatia)
Q12104	Medical Personnel (Cuba)
Q12105	Medical Personnel (Czech Republic)
Q12106	Medical Personnel (Democratic Republic of Congo)
Q12107	Medical Personnel (Ecuador)
Q12108	Medical Personnel (Egypt)
Q12109	Medical Personnel (El Salvador)
Q12110	Medical Personnel (Eritrea)
Q12111	Medical Personnel (Estonia)
Q12112	Medical Personnel (Ethiopia)
Q12113	Medical Personnel (Finland)
Q12114	Medical Personnel (France)
Q12115	Medical Personnel (Georgia)
Q12116	Medical Personnel (Germany)
Q12117	Medical Personnel (Greece)
Q12118	Medical Personnel (Guinea)
Q12119	Medical Personnel (Haiti)
Q12120	Medical Personnel (Honduras)
Q12121	Medical Personnel (Hong Kong)
Q12122	Medical Personnel (Hungary)
Q12123	Medical Personnel (India)
Q12124	Medical Personnel (Indonesia)
Q12125	Medical Personnel (Iran)
Q12126	Medical Personnel (Iraq)
Q12127	Medical Personnel (Israel)
Q12128	Medical Personnel (Italy)
Q12129	Medical Personnel (Japan)
Q12130	Medical Personnel (Jordan)
Q12131	Medical Personnel (Kazakhstan)
Q12132	Medical Personnel (Kenya)
Q12133	Medical Personnel (Kuwait)
Q12134	Medical Personnel (Kyrgyzstan)
Q12135	Medical Personnel (Latvia)
Q12136	Medical Personnel (Lebanon)
Q12137	Medical Personnel (Libya)
Q12138	Medical Personnel (Luxembourg)
Q12139	Medical Personnel (Malaysia)
Q12140	Medical Personnel (Maldives)
Q12141	Medical Personnel (Mauritius)
Q12142	Medical Personnel (Mexico)
Q12143	Medical Personnel (Moldova)
Q12144	Medical Personnel (Montenegro)
Q12145	Medical Personnel (Morocco)
Q12146	Medical Personnel (Mozambique)
Q12147	Medical Personnel (Myanmar)
Q12148	Medical Personnel (Namibia)
Q12149	Medical Personnel (New Zealand)
Q12150	Medical Personnel (Nicaragua)
Q12151	Medical Personnel (Nigeria)
Q12152	Medical Personnel (North America)
Q12153	Medical Personnel (Pakistan)
Q12154	Medical Personnel (Palestinian Territory, Occupied)
Q12155	Medical Personnel (Paraguay)
Q12156	Medical Personnel (Peru)
Q12157	Medical Personnel (Philippines)
Q12158	Medical Personnel (Poland)
Q12159	Medical Personnel (Romania)
Q12160	Medical Personnel (Russia)
Q12161	Medical Personnel (Saudi Arabia)
Q12162	Medical Personnel (Serbia)
Q12163	Medical Personnel (Sierra Leone)
Q12164	Medical Personnel (Singapore)
Q12165	Medical Personnel (Slovakia)
Q12166	Medical Personnel (Slovenia)
Q12167	Medical Personnel (Somalia)
Q12168	Medical Personnel (South Africa)
Q12169	Medical Personnel (South Korea)
Q12170	Medical Personnel (Spain)
Q12171	Medical Personnel (Sri Lanka)
Q12172	Medical Personnel (Sudan)
Q12173	Medical Personnel (Sweden)
Q12174	Medical Personnel (Switzerland)
Q12175	Medical Personnel (Syria)
Q12176	Medical Personnel (Taiwan)
Q12177	Medical Personnel (Thailand)
Q12178	Medical Personnel (Tunisia)
Q12179	Medical Personnel (Turkey)
Q12180	Medical Personnel (Uganda)
Q12181	Medical Personnel (Ukraine)
Q12182	Medical Personnel (United Kingdom)
Q12183	Medical Personnel (United States)
Q12184	Medical Personnel (Uruguay)
Q12185	Medical Personnel (Venezuela)
Q12186	Medical Personnel (Vietnam)
Q12187	Medical Personnel (Yemen)
Q12188	Medical Personnel (Zambia)
Q12189	Medical Personnel (Zimbabwe)
Q12190	Meenakshi Lekhi
Q12191	Meg Taylor
Q12192	Megawati Sukarnoputri
Q12193	Mehbooba Mufti
Q12194	Mehdi Jomaa
Q12195	Mehdi Karrubi
Q12196	Mehmet Agar
Q12197	Mehr News Agency
Q12198	Mehsud Tribe (Social Group)
Q12199	Mejlis of the Crimean Tatar People
Q12200	Mekong River Commission
Q12201	Member of Legislative (Govt) (Afghanistan)
Q12202	Member of Legislative (Govt) (Algeria)
Q12203	Member of Legislative (Govt) (Armenia)
Q12204	Member of Legislative (Govt) (Australia)
Q12205	Member of Legislative (Govt) (Azerbaijan)
Q12206	Member of Legislative (Govt) (Bahrain)
Q12207	Member of Legislative (Govt) (Belarus)
Q12208	Member of Legislative (Govt) (Brazil)
Q12209	Member of Legislative (Govt) (Bulgaria)
Q12210	Member of Legislative (Govt) (Cameroon)
Q12211	Member of Legislative (Govt) (Canada)
Q12212	Member of Legislative (Govt) (China)
Q12213	Member of Legislative (Govt) (Congo)
Q12214	Member of Legislative (Govt) (Croatia)
Q12215	Member of Legislative (Govt) (Cyprus)
Q12216	Member of Legislative (Govt) (Czech Republic)
Q12217	Member of Legislative (Govt) (Democratic Republic of Congo)
Q12218	Member of Legislative (Govt) (Denmark)
Q12219	Member of Legislative (Govt) (Egypt)
Q12220	Member of Legislative (Govt) (Estonia)
Q12221	Member of Legislative (Govt) (Ethiopia)
Q12222	Member of Legislative (Govt) (Finland)
Q12223	Member of Legislative (Govt) (Gambia)
Q12224	Member of Legislative (Govt) (Georgia)
Q12225	Member of Legislative (Govt) (Germany)
Q12226	Member of Legislative (Govt) (Ghana)
Q12227	Member of Legislative (Govt) (Guyana)
Q12228	Member of Legislative (Govt) (India)
Q12229	Member of Legislative (Govt) (Indonesia)
Q12230	Member of Legislative (Govt) (Iran)
Q12231	Member of Legislative (Govt) (Iraq)
Q12232	Member of Legislative (Govt) (Israel)
Q12233	Member of Legislative (Govt) (Italy)
Q12234	Member of Legislative (Govt) (Jordan)
Q12235	Member of Legislative (Govt) (Kazakhstan)
Q12236	Member of Legislative (Govt) (Kenya)
Q12237	Member of Legislative (Govt) (Kosovo)
Q12238	Member of Legislative (Govt) (Kuwait)
Q12239	Member of Legislative (Govt) (Kyrgyzstan)
Q12240	Member of Legislative (Govt) (Latvia)
Q12241	Member of Legislative (Govt) (Lebanon)
Q12242	Member of Legislative (Govt) (Lesotho)
Q12243	Member of Legislative (Govt) (Liberia)
Q12244	Member of Legislative (Govt) (Libya)
Q12245	Member of Legislative (Govt) (Lithuania)
Q12246	Member of Legislative (Govt) (Macedonia)
Q12247	Member of Legislative (Govt) (Malawi)
Q12248	Member of Legislative (Govt) (Malaysia)
Q12249	Member of Legislative (Govt) (Maldives)
Q12250	Member of Legislative (Govt) (Moldova)
Q12251	Member of Legislative (Govt) (Mongolia)
Q12252	Member of Legislative (Govt) (Montenegro)
Q12253	Member of Legislative (Govt) (Morocco)
Q12254	Member of Legislative (Govt) (New Zealand)
Q12255	Member of Legislative (Govt) (Nigeria)
Q12256	Member of Legislative (Govt) (Oman)
Q12257	Member of Legislative (Govt) (Pakistan)
Q12258	Member of Legislative (Govt) (Philippines)
Q12259	Member of Legislative (Govt) (Poland)
Q12260	Member of Legislative (Govt) (Russia)
Q12261	Member of Legislative (Govt) (Saudi Arabia)
Q12262	Member of Legislative (Govt) (Serbia)
Q12263	Member of Legislative (Govt) (Sierra Leone)
Q12264	Member of Legislative (Govt) (Slovakia)
Q12265	Member of Legislative (Govt) (Slovenia)
Q12266	Member of Legislative (Govt) (Somalia)
Q12267	Member of Legislative (Govt) (South Africa)
Q12268	Member of Legislative (Govt) (South Korea)
Q12269	Member of Legislative (Govt) (Sri Lanka)
Q12270	Member of Legislative (Govt) (Sweden)
Q12271	Member of Legislative (Govt) (Syria)
Q12272	Member of Legislative (Govt) (Tanzania)
Q12273	Member of Legislative (Govt) (Tunisia)
Q12274	Member of Legislative (Govt) (Turkey)
Q12275	Member of Legislative (Govt) (Turkmenistan)
Q12276	Member of Legislative (Govt) (Ukraine)
Q12277	Member of Legislative (Govt) (United Arab Emirates)
Q12278	Member of Legislative (Govt) (United Kingdom)
Q12279	Member of Legislative (Govt) (United States)
Q12280	Member of Legislative (Govt) (Uzbekistan)
Q12281	Member of Legislative (Govt) (Vanuatu)
Q12282	Member of Legislative (Govt) (Vietnam)
Q12283	Member of Legislative (Govt) (Yemen)
Q12284	Member of Legislative (Govt) (Zimbabwe)
Q12285	Member of Parliament (Afghanistan)
Q12286	Member of Parliament (Africa)
Q12287	Member of Parliament (Albania)
Q12288	Member of Parliament (Algeria)
Q12289	Member of Parliament (Angola)
Q12290	Member of Parliament (Armenia)
Q12291	Member of Parliament (Australia)
Q12292	Member of Parliament (Azerbaijan)
Q12293	Member of Parliament (Bahrain)
Q12294	Member of Parliament (Bangladesh)
Q12295	Member of Parliament (Belarus)
Q12296	Member of Parliament (Belgium)
Q12297	Member of Parliament (Bosnia and Herzegovina)
Q12298	Member of Parliament (Brazil)
Q12299	Member of Parliament (Bulgaria)
Q12300	Member of Parliament (Burkina Faso)
Q12301	Member of Parliament (Canada)
Q12302	Member of Parliament (Chile)
Q12303	Member of Parliament (China)
Q12304	Member of Parliament (Congo)
Q12305	Member of Parliament (Cote d'Ivoire)
Q12306	Member of Parliament (Croatia)
Q12307	Member of Parliament (Czech Republic)
Q12308	Member of Parliament (Democratic Republic of Congo)
Q12309	Member of Parliament (Djibouti)
Q12310	Member of Parliament (Egypt)
Q12311	Member of Parliament (Estonia)
Q12312	Member of Parliament (Finland)
Q12313	Member of Parliament (France)
Q12314	Member of Parliament (Georgia)
Q12315	Member of Parliament (Germany)
Q12316	Member of Parliament (Ghana)
Q12317	Member of Parliament (Greece)
Q12318	Member of Parliament (Guyana)
Q12319	Member of Parliament (Haiti)
Q12320	Member of Parliament (Hong Kong)
Q12321	Member of Parliament (Hungary)
Q12322	Member of Parliament (India)
Q12323	Member of Parliament (Indonesia)
Q12324	Member of Parliament (Iran)
Q12325	Member of Parliament (Iraq)
Q12326	Member of Parliament (Ireland)
Q12327	Member of Parliament (Israel)
Q12328	Member of Parliament (Japan)
Q12329	Member of Parliament (Jordan)
Q12330	Member of Parliament (Kazakhstan)
Q12331	Member of Parliament (Kenya)
Q12332	Member of Parliament (Kosovo)
Q12333	Member of Parliament (Kuwait)
Q12334	Member of Parliament (Kyrgyzstan)
Q12335	Member of Parliament (Latvia)
Q12336	Member of Parliament (Lebanon)
Q12337	Member of Parliament (Libya)
Q12338	Member of Parliament (Lithuania)
Q12339	Member of Parliament (Macedonia)
Q12340	Member of Parliament (Madagascar)
Q12341	Member of Parliament (Malawi)
Q12342	Member of Parliament (Malaysia)
Q12343	Member of Parliament (Mauritania)
Q12344	Member of Parliament (Mauritius)
Q12345	Member of Parliament (Moldova)
Q12346	Member of Parliament (Montenegro)
Q12347	Member of Parliament (Morocco)
Q12348	Member of Parliament (Myanmar)
Q12349	Member of Parliament (Namibia)
Q12350	Member of Parliament (Nepal)
Q12351	Member of Parliament (Netherlands)
Q12352	Member of Parliament (New Zealand)
Q12353	Member of Parliament (Oman)
Q12354	Member of Parliament (Pakistan)
Q12355	Member of Parliament (Palestinian Territory, Occupied)
Q12356	Member of Parliament (Papua New Guinea)
Q12357	Member of Parliament (Paraguay)
Q12358	Member of Parliament (Philippines)
Q12359	Member of Parliament (Poland)
Q12360	Member of Parliament (Portugal)
Q12361	Member of Parliament (Qatar)
Q12362	Member of Parliament (Romania)
Q12363	Member of Parliament (Russia)
Q12364	Member of Parliament (Samoa)
Q12365	Member of Parliament (Saudi Arabia)
Q12366	Member of Parliament (Serbia)
Q12367	Member of Parliament (Sierra Leone)
Q12368	Member of Parliament (Singapore)
Q12369	Member of Parliament (Slovakia)
Q12370	Member of Parliament (Slovenia)
Q12371	Member of Parliament (Somalia)
Q12372	Member of Parliament (South Africa)
Q12373	Member of Parliament (South Korea)
Q12374	Member of Parliament (Sri Lanka)
Q12375	Member of Parliament (Sudan)
Q12376	Member of Parliament (Swaziland)
Q12377	Member of Parliament (Sweden)
Q12378	Member of Parliament (Syria)
Q12379	Member of Parliament (Tajikistan)
Q12380	Member of Parliament (Tanzania)
Q12381	Member of Parliament (Thailand)
Q12382	Member of Parliament (Togo)
Q12383	Member of Parliament (Tunisia)
Q12384	Member of Parliament (Turkey)
Q12385	Member of Parliament (Uganda)
Q12386	Member of Parliament (Ukraine)
Q12387	Member of Parliament (United Arab Emirates)
Q12388	Member of Parliament (United Kingdom)
Q12389	Member of Parliament (United States)
Q12390	Member of Parliament (Uzbekistan)
Q12391	Member of Parliament (Vanuatu)
Q12392	Member of Parliament (Venezuela)
Q12393	Member of Parliament (Yemen)
Q12394	Member of Parliament (Zimbabwe)
Q12395	Member of the Judiciary (Afghanistan)
Q12396	Member of the Judiciary (Algeria)
Q12397	Member of the Judiciary (Angola)
Q12398	Member of the Judiciary (Argentina)
Q12399	Member of the Judiciary (Australia)
Q12400	Member of the Judiciary (Austria)
Q12401	Member of the Judiciary (Azerbaijan)
Q12402	Member of the Judiciary (Bahrain)
Q12403	Member of the Judiciary (Bangladesh)
Q12404	Member of the Judiciary (Belarus)
Q12405	Member of the Judiciary (Benin)
Q12406	Member of the Judiciary (Bhutan)
Q12407	Member of the Judiciary (Bolivia)
Q12408	Member of the Judiciary (Brazil)
Q12409	Member of the Judiciary (Burkina Faso)
Q12410	Member of the Judiciary (Cambodia)
Q12411	Member of the Judiciary (Canada)
Q12412	Member of the Judiciary (Cape Verde)
Q12413	Member of the Judiciary (Chad)
Q12414	Member of the Judiciary (Chile)
Q12415	Member of the Judiciary (China)
Q12416	Member of the Judiciary (Colombia)
Q12417	Member of the Judiciary (Congo)
Q12418	Member of the Judiciary (Costa Rica)
Q12419	Member of the Judiciary (Croatia)
Q12420	Member of the Judiciary (Czech Republic)
Q12421	Member of the Judiciary (Denmark)
Q12422	Member of the Judiciary (Dominica)
Q12423	Member of the Judiciary (Egypt)
Q12424	Member of the Judiciary (El Salvador)
Q12425	Member of the Judiciary (Estonia)
Q12426	Member of the Judiciary (Ethiopia)
Q12427	Member of the Judiciary (Fiji)
Q12428	Member of the Judiciary (France)
Q12429	Member of the Judiciary (Gambia)
Q12430	Member of the Judiciary (Georgia)
Q12431	Member of the Judiciary (Germany)
Q12432	Member of the Judiciary (Ghana)
Q12433	Member of the Judiciary (Greece)
Q12434	Member of the Judiciary (Guatemala)
Q12435	Member of the Judiciary (Guyana)
Q12436	Member of the Judiciary (Haiti)
Q12437	Member of the Judiciary (Holy See (Vatican City State))
Q12438	Member of the Judiciary (Hong Kong)
Q12439	Member of the Judiciary (India)
Q12440	Member of the Judiciary (Indonesia)
Q12441	Member of the Judiciary (Iran)
Q12442	Member of the Judiciary (Iraq)
Q12443	Member of the Judiciary (Ireland)
Q12444	Member of the Judiciary (Israel)
Q12445	Member of the Judiciary (Italy)
Q12446	Member of the Judiciary (Japan)
Q12447	Member of the Judiciary (Kenya)
Q12448	Member of the Judiciary (Kosovo)
Q12449	Member of the Judiciary (Kyrgyzstan)
Q12450	Member of the Judiciary (Latvia)
Q12451	Member of the Judiciary (Lebanon)
Q12452	Member of the Judiciary (Lesotho)
Q12453	Member of the Judiciary (Liberia)
Q12454	Member of the Judiciary (Lithuania)
Q12455	Member of the Judiciary (Luxembourg)
Q12456	Member of the Judiciary (Macedonia)
Q12457	Member of the Judiciary (Madagascar)
Q12458	Member of the Judiciary (Malawi)
Q12459	Member of the Judiciary (Malaysia)
Q12460	Member of the Judiciary (Mali)
Q12461	Member of the Judiciary (Mauritius)
Q12462	Member of the Judiciary (Mexico)
Q12463	Member of the Judiciary (Moldova)
Q12464	Member of the Judiciary (Montenegro)
Q12465	Member of the Judiciary (Morocco)
Q12466	Member of the Judiciary (Mozambique)
Q12467	Member of the Judiciary (Namibia)
Q12468	Member of the Judiciary (Nepal)
Q12469	Member of the Judiciary (Netherlands)
Q12470	Member of the Judiciary (New Zealand)
Q12471	Member of the Judiciary (Nigeria)
Q12472	Member of the Judiciary (Pakistan)
Q12473	Member of the Judiciary (Palestinian Territory, Occupied)
Q12474	Member of the Judiciary (Paraguay)
Q12475	Member of the Judiciary (Peru)
Q12476	Member of the Judiciary (Philippines)
Q12477	Member of the Judiciary (Poland)
Q12478	Member of the Judiciary (Russia)
Q12479	Member of the Judiciary (Rwanda)
Q12480	Member of the Judiciary (Samoa)
Q12481	Member of the Judiciary (Saudi Arabia)
Q12482	Member of the Judiciary (Senegal)
Q12483	Member of the Judiciary (Serbia)
Q12484	Member of the Judiciary (Seychelles)
Q12485	Member of the Judiciary (Singapore)
Q12486	Member of the Judiciary (Slovakia)
Q12487	Member of the Judiciary (South Africa)
Q12488	Member of the Judiciary (South Korea)
Q12489	Member of the Judiciary (South Sudan)
Q12490	Member of the Judiciary (Spain)
Q12491	Member of the Judiciary (Sri Lanka)
Q12492	Member of the Judiciary (Sudan)
Q12493	Member of the Judiciary (Sweden)
Q12494	Member of the Judiciary (Switzerland)
Q12495	Member of the Judiciary (Syria)
Q12496	Member of the Judiciary (Taiwan)
Q12497	Member of the Judiciary (Tajikistan)
Q12498	Member of the Judiciary (Tanzania)
Q12499	Member of the Judiciary (Thailand)
Q12500	Member of the Judiciary (Trinidad and Tobago)
Q12501	Member of the Judiciary (Turkey)
Q12502	Member of the Judiciary (Uganda)
Q12503	Member of the Judiciary (Ukraine)
Q12504	Member of the Judiciary (United Kingdom)
Q12505	Member of the Judiciary (United States)
Q12506	Member of the Judiciary (Uruguay)
Q12507	Member of the Judiciary (Uzbekistan)
Q12508	Member of the Judiciary (Venezuela)
Q12509	Member of the Judiciary (Zambia)
Q12510	Member of the Judiciary (Zimbabwe)
Q12511	Memorial University of Newfoundland
Q12512	Men (Afghanistan)
Q12513	Men (Africa)
Q12514	Men (Albania)
Q12515	Men (Algeria)
Q12516	Men (Angola)
Q12517	Men (Argentina)
Q12518	Men (Armenia)
Q12519	Men (Australia)
Q12520	Men (Austria)
Q12521	Men (Azerbaijan)
Q12522	Men (Bangladesh)
Q12523	Men (Bashkortostan)
Q12524	Men (Belarus)
Q12525	Men (Belgium)
Q12526	Men (Benin)
Q12527	Men (Bolivia)
Q12528	Men (Bosnia and Herzegovina)
Q12529	Men (Botswana)
Q12530	Men (Brazil)
Q12531	Men (Bulgaria)
Q12532	Men (Burkina Faso)
Q12533	Men (Burundi)
Q12534	Men (Cambodia)
Q12535	Men (Cameroon)
Q12536	Men (Canada)
Q12537	Men (Caribbean)
Q12538	Men (Central African Republic)
Q12539	Men (Chad)
Q12540	Men (Chile)
Q12541	Men (China)
Q12542	Men (Christmas Island)
Q12543	Men (Colombia)
Q12544	Men (Congo)
Q12545	Men (Costa Rica)
Q12546	Men (Cote d'Ivoire)
Q12547	Men (Croatia)
Q12548	Men (Cuba)
Q12549	Men (Cyprus)
Q12550	Men (Czech Republic)
Q12551	Men (Democratic Republic of Congo)
Q12552	Men (Denmark)
Q12553	Men (Dominican Republic)
Q12554	Men (Ecuador)
Q12555	Men (Egypt)
Q12556	Men (El Salvador)
Q12557	Men (Eritrea)
Q12558	Men (Estonia)
Q12559	Men (Ethiopia)
Q12560	Men (Fiji)
Q12561	Men (Finland)
Q12562	Men (France)
Q12563	Men (Gambia)
Q12564	Men (Georgia)
Q12565	Men (Germany)
Q12566	Men (Ghana)
Q12567	Men (Greece)
Q12568	Men (Grenada)
Q12569	Men (Guadeloupe)
Q12570	Men (Guatemala)
Q12571	Men (Guinea)
Q12572	Men (Guyana)
Q12573	Men (Haiti)
Q12574	Men (Honduras)
Q12575	Men (Hong Kong)
Q12576	Men (India)
Q12577	Men (Indonesia)
Q12578	Men (Iran)
Q12579	Men (Iraq)
Q12580	Men (Ireland)
Q12581	Men (Israel)
Q12582	Men (Italy)
Q12583	Men (Jamaica)
Q12584	Men (Japan)
Q12585	Men (Jordan)
Q12586	Men (Kazakhstan)
Q12587	Men (Kenya)
Q12588	Men (Kuwait)
Q12589	Men (Kyrgyzstan)
Q12590	Men (Laos)
Q12591	Men (Latvia)
Q12592	Men (Lebanon)
Q12593	Men (Liberia)
Q12594	Men (Libya)
Q12595	Men (Lithuania)
Q12596	Men (Luxembourg)
Q12597	Men (Macedonia)
Q12598	Men (Madagascar)
Q12599	Men (Malawi)
Q12600	Men (Malaysia)
Q12601	Men (Maldives)
Q12602	Men (Mali)
Q12603	Men (Malta)
Q12604	Men (Mauritius)
Q12605	Men (Mexico)
Q12606	Men (Moldova)
Q12607	Men (Morocco)
Q12608	Men (Mozambique)
Q12609	Men (Myanmar)
Q12610	Men (Namibia)
Q12611	Men (Nepal)
Q12612	Men (Netherlands)
Q12613	Men (New Zealand)
Q12614	Men (Nicaragua)
Q12615	Men (Niger)
Q12616	Men (Nigeria)
Q12617	Men (North Korea)
Q12618	Men (Norway)
Q12619	Men (Oman)
Q12620	Men (Pakistan)
Q12621	Men (Palestinian Territory, Occupied)
Q12622	Men (Panama)
Q12623	Men (Papua New Guinea)
Q12624	Men (Peru)
Q12625	Men (Philippines)
Q12626	Men (Poland)
Q12627	Men (Portugal)
Q12628	Men (Qatar)
Q12629	Men (Romania)
Q12630	Men (Russia)
Q12631	Men (Rwanda)
Q12632	Men (Saudi Arabia)
Q12633	Men (Senegal)
Q12634	Men (Serbia)
Q12635	Men (Sierra Leone)
Q12636	Men (Singapore)
Q12637	Men (Slovakia)
Q12638	Men (Somalia)
Q12639	Men (South Africa)
Q12640	Men (South Asia)
Q12641	Men (South Korea)
Q12642	Men (South Sudan)
Q12643	Men (Spain)
Q12644	Men (Sudan)
Q12645	Men (Swaziland)
Q12646	Men (Sweden)
Q12647	Men (Switzerland)
Q12648	Men (Syria)
Q12649	Men (Taiwan)
Q12650	Men (Tajikistan)
Q12651	Men (Tanzania)
Q12652	Men (Thailand)
Q12653	Men (Togo)
Q12654	Men (Trinidad and Tobago)
Q12655	Men (Tunisia)
Q12656	Men (Turkey)
Q12657	Men (Uganda)
Q12658	Men (Ukraine)
Q12659	Men (United Arab Emirates)
Q12660	Men (United Kingdom)
Q12661	Men (United States)
Q12662	Men (Uruguay)
Q12663	Men (Uzbekistan)
Q12664	Men (Venezuela)
Q12665	Men (Vietnam)
Q12666	Men (Virgin Islands, U.S.)
Q12667	Men (Yemen)
Q12668	Men (Zimbabwe)
Q12669	Meral Aksener
Q12670	Mercedes Araoz
Q12671	Mercedes Marcó del Pont
Q12672	Mercosur
Q12673	Mercury
Q12674	Meretz
Q12675	Messiria
Q12676	Methodist Church (Nigeria)
Q12677	Methodist Church (South Korea)
Q12678	Mette Frederiksen
Q12679	Mevlut Cavusoglu
Q12680	Mexican Army
Q12681	Mexican Navy
Q12682	Mexico
Q12683	Mia Mottley
Q12684	Mian Iftikhar Hussain
Q12685	Michael Andrew Gove
Q12686	Michael Bloomberg
Q12687	Michael Brown
Q12688	Michael D. Higgins
Q12689	Michael David Chong
Q12690	Michael Defensor
Q12691	Michael Flynn
Q12692	Michael Forsyth
Q12693	Michael Howard
Q12694	Michael Häupl
Q12695	Michael J. Scott
Q12696	Michael Louis Fitzgerald
Q12697	Michael Mann
Q12698	Michael Martin
Q12699	Michael McCaul
Q12700	Michael Moore
Q12701	Michael P. Jackson
Q12702	Michael Rama
Q12703	Michael Roth
Q12704	Michael Smith
Q12705	Michael Somare
Q12706	Michaelle Jean
Q12707	Michal Hašek
Q12708	Michel Aoun
Q12709	Michel Barnier
Q12710	Michel Joseph Martelly
Q12711	Michel Kilo
Q12712	Michel Murr
Q12713	Michel Suleiman
Q12714	Michel Temer
Q12715	Michelin
Q12716	Michelle Bachelet
Q12717	Michelle O'Neill
Q12718	Michelle Obama
Q12719	Micheál Martin
Q12720	Mickey Levy
Q12721	Micronesia
Q12722	Microsoft
Q12723	Middle Belt Forum
Q12724	Middle East
Q12725	Middle East Institute
Q12726	Middle East News Agency
Q12727	Miguel Díaz-Canel
Q12728	Miguel Rodríguez Torres
Q12729	Miguel Zubiri
Q12730	Miguel Ángel Félix Gallardo
Q12731	Miguel Ángel Moratinos
Q12732	Miguel Ángel Rodríguez
Q12733	Mihály Varga
Q12734	Mike Duggan
Q12735	Mike Harris
Q12736	Mike Lee
Q12737	Mike O'Brien
Q12738	Mike Ozekhome
Q12739	Mike Pence
Q12740	Mike Pompeo
Q12741	Mike Sonko
Q12742	Mikhail Bogdanov
Q12743	Mikhail Borisovich Khodorkovsky
Q12744	Mikhail Mishustin
Q12745	Mikhail Myasnikovich
Q12746	Mikhail Saakashvili
Q12747	Mikhail Sergeyevich Gorbachev
Q12748	Mikhail Shvydkoy
Q12749	Milan Bandić
Q12750	Milan Ftácník
Q12751	Militant (Abu Sayyaf)
Q12752	Militant (Afghanistan)
Q12753	Militant (Africa)
Q12754	Militant (Agence France-Presse)
Q12755	Militant (Al Badr)
Q12756	Militant (Al Qaeda)
Q12757	Militant (Al-Shabaab)
Q12758	Militant (Algeria)
Q12759	Militant (Angola)
Q12760	Militant (Ansar al-Islam)
Q12761	Militant (Argentina)
Q12762	Militant (Armenia)
Q12763	Militant (Australia)
Q12764	Militant (Azerbaijan)
Q12765	Militant (Bangladesh)
Q12766	Militant (Belarus)
Q12767	Militant (Boko Haram)
Q12768	Militant (Bolivia)
Q12769	Militant (Brazil)
Q12770	Militant (Broad Front)
Q12771	Militant (Burkina Faso)
Q12772	Militant (Cameroon)
Q12773	Militant (Chad)
Q12774	Militant (Chechen)
Q12775	Militant (Chechnya)
Q12776	Militant (Chile)
Q12777	Militant (China)
Q12778	Militant (Colombia)
Q12779	Militant (Congo)
Q12780	Militant (Cote d'Ivoire)
Q12781	Militant (Democratic Republic of Congo)
Q12782	Militant (Ecuador)
Q12783	Militant (Egypt)
Q12784	Militant (El Salvador)
